"STATE","AVG_SCORE","AVG_TOT_EXP"
"ALABAMA",245.900464780877,10.2068903117661
"ALASKA",247.092058712462,22.7015486979465
"ARIZONA",249.039900020763,8.36273437053561
"ARKANSAS",247.781778540976,11.1543543430856
"CALIFORNIA",244.580033633704,12.5858296837577
"COLORADO",252.528207958098,10.9566237160675
"CONNECTICUT",255.284228704304,20.8614489300824
"DELAWARE",253.808747462987,16.2098814067052
"FLORIDA",248.207638202274,9.94191623466773
"GEORGIA",253.592294182453,10.7701997607412
"HAWAII",248.935816581229,13.822506360207
"IDAHO",251.625155384573,7.40346768515783
"ILLINOIS",249.662272143836,15.8319910430394
"INDIANA",257.664938894872,11.330804658365
"IOWA",255.04806475846,13.4029419506007
"KANSAS",253.570413233333,12.4280045077679
"KENTUCKY",253.98269666657,10.9733643196921
"LOUISIANA",246.419781196416,12.7641021761987
"MAINE",254.6554097873,14.7362864408319
"MARYLAND",250.265598100851,15.8822742727443
"MASSACHUSETTS",262.785252245154,18.5261032822853
"MICHIGAN",249.52742638311,13.1916611710405
"MINNESOTA",260.393528255493,14.8317464723113
"MISSISSIPPI",245.857743615931,9.4341957897872
"MISSOURI",253.187170679689,11.8062286411307
"MONTANA",251.371153129401,12.4948320145105
"NEBRASKA",255.968298269889,13.7179207188398
"NEVADA",248.345311777426,9.52979624010133
"NEW_HAMPSHIRE",261.234924647766,16.6342691994602
"NEW_JERSEY",256.913552265537,21.5121562390329
"NEW_MEXICO",246.027990756999,11.7887721922053
"NEW_YORK",252.596540460179,24.736385877124
"NORTH_CAROLINA",251.027929098792,9.5975436697244
"NORTH_DAKOTA",255.224405183904,17.0162642253043
"OHIO",253.546380631696,14.0991237465802
"OKLAHOMA",250.783074175522,9.20750467087976
"OREGON",251.665887126973,12.2929593811801
"PENNSYLVANIA",254.0811438259,18.6800700125643
"RHODE_ISLAND",253.150751401547,17.2876855856258
"SOUTH_CAROLINA",249.908308733825,11.9112423226982
"SOUTH_DAKOTA",252.471220763434,11.0269881658587
"TENNESSEE",249.453865903814,9.61512171578535
"TEXAS",253.204697582919,11.2402192186564
"UTAH",254.89850053227,7.90705559901936
"VERMONT",256.08983571686,23.1195412283997
"VIRGINIA",258.180960023013,12.5897550292335
"WASHINGTON",257.837312572217,12.7104244007837
"WEST_VIRGINIA",247.436177915488,12.4013413696278
"WISCONSIN",255.748799177546,13.4062459025334
"WYOMING",255.443096737661,20.6931722543599
